ein,org_name,ntee_code,ntee_sector_letter,city,state,zip,ruling_year,distance_band,distance_to_centerline,priority_flag,funder_flag,score,total_revenue,total_assets
01-0468125,Blaisdell Family National Association,A80,A,MCMINNVILLE,OR,97128,2015,outside,32.8210475928043,false,false,0.368307865160198,0,0
01-0555614,Okanogan Regional Humane,D20,D,OMAK,WA,98841,2002,near,6.19439868455371,false,false,0.3940186638526,378614,688784
01-0573492,Sw Washington High Technology Council,S41,S,VANCOUVER,WA,98687,2013,near,11.9038069486591,false,false,0.388505636395147,0,0
01-0585828,Vancouver Lake Crew,N67,N,VANCOUVER,WA,98685,2002,near,15.1992899266026,false,false,0.385323504849713,163831,83010
01-0589336,In His Service Amianan,X21,X,BATTLE GROUND,WA,98604,2003,extended,24.8363493009017,false,false,0.376017921769652,251940,25953
01-0599489,Canine Action Pack,D60,D,WILSONVILLE,OR,97070,2003,near,14.6536117273559,true,false,0.685850413901618,0,0
01-0614397,Eiting Foundation,T22,T,PORTLAND,OR,97205,2002,corridor_core,1.752672116652,false,true,0.398307612793472,,36180
01-0650973,Whitman County Crop Improvement Association,C99,C,COLFAX,WA,99111,2014,outside,37.5834713207249,true,false,0.763709249758823,0,0
01-0656490,Prevention Specialist Certification Board Of Washington State,S41,S,CLARKSTON,WA,99403,2016,near,3.32448823373865,false,false,0.396789860863549,0,0
01-0661510,Lower Columbia Section Of The Pncwa,S80,S,PORTLAND,OR,97203,2014,near,6.7633432796295,false,false,0.393469288675817,0,0
01-0665555,Shir Tikvah,X21,X,PORTLAND,OR,97232,2002,near,3.46718259784488,false,false,0.396652074614791,,
01-0696988,North Coast Symphonic Band Association,A69,A,ASTORIA,OR,97103,2004,corridor_core,2.37719930782582,false,false,0.397704566839566,0,0
01-0715181,River Restoration Northwest,B03,B,PORTLAND,OR,97208,2003,corridor_core,2.15523910144073,false,false,0.397918892502692,435279,620945
01-0716814,Toastmasters International,,,HILLSBORO,OR,97124,1945,near,9.05396253745588,false,false,0.391257457557982,0,0
01-0721538,Toppenish Community Foundation,S30,S,TOPPENISH,WA,98948,2002,outside,47.0580984556321,false,false,0.354560511898848,0,0
01-0723706,Tri-Cities Prep Foundation,B12,B,PASCO,WA,99301,2002,extended,23.2847475027766,false,false,0.377516154672329,72628,708979
01-0726348,Southwest Washington Workforce Development Council,T20,T,VANCOUVER,WA,98660,2003,near,8.93465762770085,false,true,0.458683019954926,10224814,2908609
01-0731775,Mission Dental Foundation,S20,S,NEWBERG,OR,97132,2002,extended,18.5776056748179,false,false,0.382061389649973,190828,167425
01-0741195,Methow Recycles,C27,C,TWISP,WA,98856,2003,extended,30.5306934486523,true,false,0.670519440283208,291962,266925
01-0743326,Hillsboro Vineyard Church,X21,X,BEAVERTON,OR,97006,2004,near,9.45869220871903,false,false,0.390866648968492,,
01-0757719,Healthy Forests Healthy Communities,C36,C,PORTLAND,OR,97232,2003,corridor_core,2.97100657859443,true,false,0.797131184163683,125617,226016
01-0758985,Literacy For Haiti,Q33,Q,CLARKSTON,WA,99403,2003,corridor_core,2.99684805574541,false,false,0.39710623152998,79195,27433
01-0765884,North Clackamas Christian School,B25,B,OREGON CITY,OR,97045,2004,near,13.527484229885,false,false,0.415220496058318,2656075,4093326
01-0777882,Community Housing Iii,L20,L,PORTLAND,OR,97239,2003,corridor_core,1.42994315753737,false,false,0.398619241167309,238517,1975020
01-0778376,Oak Hills Soccer Club,N64,N,PORTLAND,OR,97229,2003,near,8.64519177433264,false,false,0.391652168241937,122721,201141
01-0793620,Walworth Music Foundation,B11,B,THE DALLES,OR,97058,2004,near,14.728910659793,false,false,0.385777704951261,0,0
01-0799951,Tigard Blast Fastpitch Softball Association,N63,N,PORTLAND,OR,97281,2004,near,5.80533314191957,false,false,0.39439434709683,98216,38224
01-0802514,Veterinary Medical Association Executives,S41,S,CAMAS,WA,98607,2004,extended,15.6754672063237,false,false,0.384863706163705,408801,855836
01-0809297,Free & Accepted Masons Of Washington,,,PATEROS,WA,98846,1941,outside,36.3384934484258,false,false,0.364911405372226,0,0
01-0822580,W Verne Mckinney PTO,B94,B,HILLSBORO,OR,97124,2005,near,14.4590372462986,false,false,0.386038295798825,0,0
01-0836605,Sunset Apollo Softball Club,N63,N,PORTLAND,OR,97229,2005,near,5.40740359851189,false,false,0.394778589455662,0,0
01-0844437,Enfoque Ixcan,Q33,Q,HILLSBORO,OR,97123,2006,near,10.8288581577276,false,false,0.389543611247466,65359,162322
01-0848977,Portland Triathlon Club,N60,N,TIGARD,OR,97223,2016,near,7.77812508477652,false,false,0.392489411305639,0,0
01-0862616,Shalom Prayer Center,,,MOUNT ANGEL,OR,97362,1946,extended,30.5714979325943,false,false,0.370480039310295,,
01-0866805,Institute For Language And Education Policy,T20,T,PORTLAND,OR,97219,2006,near,4.41335445992338,false,true,0.39573844728008,0,0
